# z     fIaMin      fIa     fIaMax
1.590  0.02674  0.09081  0.17918 
1.600  0.02626  0.08992  0.17783 
1.610  0.02599  0.08903  0.17649 
1.620  0.02572  0.08815  0.17517 
1.630  0.02546  0.08729  0.17386 
1.640  0.02519  0.08643  0.17256 
1.650  0.02493  0.08559  0.17127 
1.660  0.02467  0.08475  0.17000 
1.670  0.02442  0.08393  0.16873 
1.680  0.02416  0.08311  0.16748 
1.690  0.02391  0.08230  0.16625 
1.700  0.02366  0.08151  0.16502 
1.710  0.02342  0.08135  0.16380 
1.720  0.02318  0.08119  0.16260 
1.730  0.02294  0.08103  0.16141 
1.740  0.02270  0.08087  0.16022 
1.750  0.02246  0.08071  0.15905 
1.760  0.02223  0.08055  0.15789 
1.770  0.02200  0.08039  0.15674 
1.780  0.02177  0.08023  0.15560 
1.790  0.02154  0.08007  0.15448 
1.800  0.02132  0.07992  0.15336 
1.810  0.02110  0.07976  0.15344 
1.820  0.02088  0.07960  0.15353 
1.830  0.02066  0.07945  0.15362 
1.840  0.02044  0.07929  0.15370 
1.850  0.02023  0.07913  0.15379 
1.860  0.02002  0.07898  0.15388 
1.870  0.01981  0.07882  0.15396 
1.880  0.01961  0.07867  0.15405 
1.890  0.01940  0.07851  0.15414 
1.900  0.01920  0.07836  0.15422 
1.910  0.01900  0.07820  0.15431 
1.920  0.01880  0.07805  0.15440 
1.930  0.01861  0.07789  0.15449 
1.940  0.01841  0.07774  0.15457 
1.950  0.01822  0.07759  0.15466 
1.960  0.01803  0.07743  0.15475 
1.970  0.01784  0.07728  0.15483 
1.980  0.01766  0.07713  0.15492 
1.990  0.01747  0.07697  0.15501 
2.000  0.01729  0.07682  0.15510 
2.010  0.01711  0.07667  0.15518 
2.020  0.01693  0.07652  0.15527 
2.030  0.01675  0.07637  0.15536 
2.040  0.01658  0.07622  0.15545 
2.050  0.01640  0.07607  0.15553 
2.060  0.01623  0.07592  0.15562 
2.070  0.01606  0.07576  0.15571 
2.080  0.01589  0.07561  0.15580 
2.090  0.01573  0.07547  0.15588 
2.100  0.01556  0.07532  0.15597 
2.110  0.01540  0.07517  0.15606 
2.120  0.01524  0.07502  0.15615 
2.130  0.01508  0.07487  0.15624 
2.140  0.01492  0.07472  0.15632 
2.150  0.01477  0.07457  0.15641 
2.160  0.01461  0.07443  0.15650 
2.170  0.01446  0.07428  0.15659 
2.180  0.01431  0.07413  0.15668 
2.190  0.01416  0.07398  0.15676 
2.200  0.01401  0.07384  0.15685 
2.210  0.01386  0.07369  0.15694 
2.220  0.01372  0.07354  0.15703 
2.230  0.01357  0.07340  0.15712 
2.240  0.01343  0.07325  0.15720 
2.250  0.01329  0.07311  0.15729 
2.260  0.01315  0.07296  0.15738 
2.270  0.01301  0.07282  0.15747 
2.280  0.01288  0.07267  0.15756 
